"GRTinETH","GRTinUSD","activeDelegationCount","activeDelegatorCount","arbitrator","channelDisputeEpochs","curationPercentage","curationTaxPercentage","curatorCount","currentEpoch","defaultReserveRatio","delegationCount","delegationParametersCooldown","delegationRatio","delegationTaxPercentage","delegationUnbondingPeriod","delegatorCount","epochCount","epochLength","fishermanRewardPercentage","indexerCount","indexingSlashingPercentage","isPartialPaused","isPaused","lastLengthUpdateBlock","lastLengthUpdateEpoch","lastRunEpoch","maxAllocationEpochs","minimumCurationDeposit","minimumDisputeDeposit","minimumIndexerStake","networkGRTIssuance","ownerTaxPercentage","protocolFeePercentage","querySlashingPercentage","rebateRatio","stakedIndexersCount","subgraphAvailabilityOracle","subgraphCount","subgraphDeploymentCount","thawingPeriod","totalCuratorQueryFees","totalDelegatedTokens","totalDelegatorQueryFeeRebates","totalGRTBurned","totalGRTMinted","totalIndexerQueryFeeRebates","totalIndexerQueryFeesCollected","totalIndexingDelegatorRewards","totalIndexingIndexerRewards","totalIndexingRewards","totalQueryFees","totalSupply","totalTaxedQueryFees","totalTokensAllocated","totalTokensClaimable","totalTokensSignalled","totalTokensStaked","totalUnclaimedQueryFeeRebates","totalUnstakedTokensLocked","date_utc","date_time_utc"
"0","0",9042,7065,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,506,219,500000,12504,0,16,5000,28,8739,219,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",168,156,186092,"20744311623925385886641","2090002149473708786911085720","66606456834028855880047","15499095585683279484583983","10167625297379690564306583911","53311357569089981645946","192510818608411661310026","102660152891696875488790851","64965144487993688817793060","167625297379690564306583911","217013602147447716316242","10152126201794007284821999928","3758471915110669119575","3020787753918236110000000000","0","3124101482044893253758821","873911791882936301973787939","72593004205292823784033","18137611674428673380273800",2021-07-27,"2021-07-27 00:00:05"
"0","0",9042,7065,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,671,219,500000,12506,0,16,5000,28,8741,219,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",171,158,186092,"20744312353555385886641","2090006425315415012325999791","66606456834028855880047","15501237427008974359975064","10167635681960314582413859591","53311357569089981645946","192510825175081661310026","102664298834519474116176953","64971383125795108297682638","167635681960314582413859591","217013609517447716316242","10152134444533305608053884527","3758471988810669119575","3020908692078236110000000000","0","3164396464667208627895268","873913625530157577120787939","72593010771962823784033","18137611674428673380273800",2021-07-27,"2021-07-27 06:00:04"
"0","0",9037,7061,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,980,219,500000,12507,0,16,5000,28,8741,219,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",171,158,186092,"20746259914147559154007","2089985937508188320338701882","66681008003002580207592","15501393706690279049800431","10167732349846031909758230121","53324513657732403586099","192528353220411220716353","102674957161299260603957271","65057392684732649154272850","167732349846031909758230121","217033281846661587703807","10152230956139341630708429690","3758668712102807833447","3003563022558236110000000000","0","3161558456376607259983700","873914117483982806751917216","72522831559676236922662","18137611674428673380273800",2021-07-27,"2021-07-27 12:00:04"
"0","0",9049,7077,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,1623,221,500000,12531,0,16,5000,28,8759,221,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",172,162,186092,"20746971273977323323488","2090312722349455224598013343","66692827012496714973864","15531922976042016303770063","10169088027010923498616981507","53342634450205160043567","192549535278924679175510","103099395356651076117434777","65988631654272422499546730","169088027010923498616981507","217055396410644640864044","10153556104034881482313211444","3758889857742638365046","3008447504759258380000000000","0","3907552873190895230695858","874593544260004693627419128","72514073816222804158079","18137611674428673380273800",2021-07-28,"2021-07-28 20:35:15"
"0","0",9050,7078,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,1624,221,500000,12532,0,16,5000,28,8760,221,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",172,162,186092,"20746971273977323323488","2090314712349455224598013343","66692827012496714973864","15533663429248865850319852","10169177202410385673720384868","53342634450205160043567","192549535278924679175510","103173625269094864727811442","66003577141290808992573426","169177202410385673720384868","217055396410644640864044","10153643538981136807870065016","3758889857742638365046","2931796087649258380000000000","0","3908918002260097826383697","874598675287661227672576893","72514073816222804158079","18137611674428673380273800",2021-07-28,"2021-07-28 20:59:09"
"0","0",9052,7079,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,1648,221,500000,12535,0,16,5000,28,8762,221,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",172,162,186092,"20746971273977323323488","2090369676192209653499687697","66692827012496714973864","15534076793701245850324852","10169178983313912021662841975","53342634450205160043567","192549535278924679175510","103174477708975972920735378","66004505604936048742106597","169178983313912021662841975","217055396410644640864044","10153644906520210775812517123","3758889857742638365046","3022870823749258380000000000","0","3913688580735097826383697","874598675287661227672576893","72514073816222804158079","18137611674428673380273800",2021-07-29,"2021-07-29 00:00:05"
"0","0",9053,7080,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,1786,221,500000,12540,0,16,5000,28,8766,221,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",172,162,186092,"20746975209156572965066","2090352030995100008300893098","66692827012496714973864","15534701219645125391196679","10169197784019349349796291231","53342634450205160043567","192549570695537925949722","103187226888785777343931554","66010557130563572452359677","169197784019349349796291231","217055436159929990778983","10153663082799704224405094552","3758890255235491864195","3021270320749258380000000000","0","3916673161272832059618614","874599922822622275867439100","72514109232836050932291","18137611674428673380273800",2021-07-29,"2021-07-29 06:00:04"
"0","0",9059,7085,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,1933,221,500000,12548,0,16,5000,28,8771,221,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",174,164,186092,"20747822678856572965066","2090568141942043977488754973","66692827012496714973864","15537336081413708149591781","10169203271486779543489727831","53342634450205160043567","192575875559837925949722","103188758932194588111527606","66014512554584955378200225","169203271486779543489727831","217135182259929990778983","10153665935405365835340136050","3811484021235491864195","3021385920749258380000000000","0","3964032750342958923265015","874599922822622275867439100","72540414097136050932291","18137611674428673380273800",2021-07-29,"2021-07-29 12:00:05"
"0","0",9060,7088,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,1972,221,500000,12553,0,16,5000,28,8774,221,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",174,164,186092,"20747822678856572965066","2090713341059875343688506193","66692827012496714973864","15541986121493372057725795","10169220745577310210605729698","53342634450205160043567","192575875559837925949722","103200172154077082829008761","66020573423233127776720937","169220745577310210605729698","217135182259929990778983","10153678759455816838548003903","3811484021235491864195","3020978104649258380000000000","0","3490879518200451743823895","874601801223008002574575453","72540414097136050932291","18137611674428673380273800",2021-07-29,"2021-07-29 18:00:04"
"0","0",9054,7088,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,2014,222,500000,12561,0,16,5000,28,8780,222,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",176,166,186092,"20756714948968786579297","2090047695190775936344694915","66693568414058026106007","15544452103380162574755225","10169632304734658409980828175","53347609513208772714378","192655905990847848477801","103420397578619334004798309","66211907156039075976029866","169632304734658409980828175","217225003170154370720710","10154087852631278247406072950","3812382230337735663612","3000802787599258380000000000","0","3538185639581585235367550","874771667677413696989405945","72614728063581049657416","18137611674428673380273800",2021-07-30,"2021-07-30 00:00:05"
