"blockNumber","buyer","category","createdAt","nftAddress","price","status","txHash","price_mana","nft_image","nft_owner_address","nft_owner_mana","parcel_x_coordinate","parcel_y_coordinate","estate_size","date_time_utc","date"
"12731939",NA,"estate","1625009956","0x959e104e1a4db6317fa58f8295f586e1a978c297","108000000000000000000000","open","0x61fd6d68086d3533042aa4abc20069df9a1038bd287bbaf99c3c282a2a1c4d8d",108000,"https://api.decentraland.org/v1/estates/4095/map.png","0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92","0",NA,NA,12,"2021-06-29 23:50:05",2021-06-29
"12731432",NA,"estate","1625003588","0x959e104e1a4db6317fa58f8295f586e1a978c297","42000000000000000000000","open","0x6fb9ec45c395bbfffd1d972bdf841a0e92c9f4f69fd396897901ae789452d7ea",42000,"https://api.decentraland.org/v1/estates/4261/map.png","0xa73e532f93c0cdc35bd79abb0d0a22713154bc98","0",NA,NA,6,"2021-06-29 23:50:05",2021-06-29
"12729920",NA,"parcel","1624982736","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","12888000000000000000000","open","0xf69985430586701542c430d2f78a4791b425a4f4b08b2fa7a4d988050f2a4805",12888,"https://api.decentraland.org/v1/parcels/-35/140/map.png","0x5ce213893956bbf4249a7f8a079331280065eec6","0","-35","140",NA,"2021-06-29 23:50:05",2021-06-29
"12729823",NA,"estate","1624981522","0x959e104e1a4db6317fa58f8295f586e1a978c297","21750000000000000000000","open","0x8fae51f9c19a5abc91ee1f3c2ae2da56127d61494f412159f726b23d6e6ce453",21750,"https://api.decentraland.org/v1/estates/4236/map.png","0x0fbdd52f2d91999459169bbba3688e95bcdb8438","0",NA,NA,4,"2021-06-29 23:50:05",2021-06-29
"12728727",NA,"estate","1624966708","0x959e104e1a4db6317fa58f8295f586e1a978c297","103999000000000000000000","open","0x37aa163e084df556c2e933b1eaddf20fff2dfde2f079561f93696952eb1e083a",103999,"https://api.decentraland.org/v1/estates/1577/map.png","0xe6be2096dbe9560cfb01b45804514d075d6585bc","0",NA,NA,10,"2021-06-29 23:50:05",2021-06-29
"12728120",NA,"parcel","1624958253","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","29800000000000000000000","open","0x0c5bb7e222999b0e870b3d9dfb8ab886f51a17d2d95802ff56639997a5327efe",29800,"https://api.decentraland.org/v1/parcels/-14/-13/map.png","0x94a09c22de23f95aec79793af9168be397affc38","0","-14","-13",NA,"2021-06-29 23:50:05",2021-06-29
"12728119",NA,"wearable","1624958252","0xb96697fa4a3361ba35b774a42c58daccaad1b8e1","300000000000000000000","open","0xc89cc5c0d805029b063b7ced2252271c66525858d10d734ad4002afbaf495ca5",300,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:wonderzone_steampunk:steampunk_trousers/thumbnail","0x82b16206e6d54ec145835720e13c43ecdb57b814","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12728063",NA,"wearable","1624957467","0x4c290f486bae507719c562b6b524bdb71a2570c9","100000000000000000000","open","0x9192e3135a1fcbc965a948d6647a3af8055d657712b7092c81d6dc415a71d0cd",100,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:atari_launch:atari_green_hat/thumbnail","0x82b16206e6d54ec145835720e13c43ecdb57b814","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12728032",NA,"wearable","1624957050","0x32b7495895264ac9d0b12d32afd435453458b1c6","100000000000000000000","open","0x955127c08b1f6539f37badb3b724e955c16ed1ebede1c51dad25bf62d909d968",100,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:community_contest:cw_casinovisor_hat/thumbnail","0x82b16206e6d54ec145835720e13c43ecdb57b814","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12728075","0xe1bdff947510a8e9623cf7f3c6cf6fe5e37c16b8","parcel","1624947391","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","4899000000000000000000","sold","0xf9280ce7367da4706a4a5ab9f38bb3de2b7129f5223ce98eef254a574c49ddee",4899,"https://api.decentraland.org/v1/parcels/122/-139/map.png","0xe1bdff947510a8e9623cf7f3c6cf6fe5e37c16b8","0","122","-139",NA,"2021-06-29 23:50:05",2021-06-29
"12727077",NA,"parcel","1624943964","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","10000000000000000000000","open","0xb2c91f67a83ccd23a1cbdf65cfca33dfe22bbe85ca844eacb940783f78682999",10000,"https://api.decentraland.org/v1/parcels/132/2/map.png","0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92","0","132","2",NA,"2021-06-29 23:50:05",2021-06-29
"12727223","0x5df3d7240da0f8ec774031aa11a39f6dc6286b75","parcel","1624943964","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","10695000000000000000000","sold","0x26bc932211109fb9ad05a04060dad8c7f0dce42e5dbf1e771a9bc6ea6285a520",10695,"https://api.decentraland.org/v1/parcels/-52/-15/map.png","0x5df3d7240da0f8ec774031aa11a39f6dc6286b75","0","-52","-15",NA,"2021-06-29 23:50:05",2021-06-29
"12727795","0xe1bdff947510a8e9623cf7f3c6cf6fe5e37c16b8","parcel","1624942041","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","4909000000000000000000","sold","0x361b7048f1c60292255939849bd998687053c7edae54d899601c459ea00392c7",4909,"https://api.decentraland.org/v1/parcels/69/-35/map.png","0xe1bdff947510a8e9623cf7f3c6cf6fe5e37c16b8","0","69","-35",NA,"2021-06-29 23:50:05",2021-06-29
"12726920",NA,"parcel","1624942024","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","5233000000000000000000","open","0x1238e834f37afd376eeb7dc791d8e94f193f986c8ea8362f06106e0dc2a983e0",5233,"https://api.decentraland.org/v1/parcels/-33/-111/map.png","0x5ce213893956bbf4249a7f8a079331280065eec6","0","-33","-111",NA,"2021-06-29 23:50:05",2021-06-29
"12726867",NA,"parcel","1624941342","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","6500000000000000000000","open","0x5692355fcd8e6fcbc3bb20beb8c65b73c8bc1a7745dcd740df079ce00ff7e839",6500,"https://api.decentraland.org/v1/parcels/15/64/map.png","0x5ce213893956bbf4249a7f8a079331280065eec6","0","15","64",NA,"2021-06-29 23:50:05",2021-06-29
"12726097",NA,"parcel","1624930864","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","22000000000000000000000","open","0x7900aed0777a0432c1de474b2bac965d10bdb0b44a83b6816eb34f191d6c8040",22000,"https://api.decentraland.org/v1/parcels/94/-5/map.png","0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92","0","94","-5",NA,"2021-06-29 23:50:05",2021-06-29
"12726045",NA,"ens","1624930175","0x2a187453064356c898cae034eaed119e1663acb8","10000000000000000000000","open","0x578a4e1849bfa63d5921e99369c85857a673d201680c958a69ad54773f665c2d",10000,NA,"0xa797ac344ac4823176481c15ca99a10fc73e0756","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12725500",NA,"wearable","1624922999","0x3163d2cfee3183f9874e2869942cc62649eeb004","400000000000000000000","open","0x6d447e79de6e45c807d9c6bd17b5b6339c9cfe13d6ec35e8852420c1f30d80a5",400,"https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:ethereum:collections-v1:dcg_collection:dcg_black_hoodie_upper_body/thumbnail","0xf943f156fe138f71447e995bfbd10261ae70a9f6","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12725386",NA,"parcel","1624921358","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","8700000000000000000000","open","0x78e594ad71e3460a52ac1e850fef4bf4619a2749630bd7f4a761da5906a5a662",8700,"https://api.decentraland.org/v1/parcels/-38/10/map.png","0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92","0","-38","10",NA,"2021-06-29 23:50:05",2021-06-29
"12725382",NA,"parcel","1624921321","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","19000000000000000000000","open","0xa3ca5951942147598c379a212e933d7b2fb36545005744b187fb855a1553cd93",19000,"https://api.decentraland.org/v1/parcels/97/-2/map.png","0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92","0","97","-2",NA,"2021-06-29 23:50:05",2021-06-29
"12731924","0x8b47f00455c2e40a549535798796dea0ebb94158","ens","1624920968","0x2a187453064356c898cae034eaed119e1663acb8","250000000000000000000","sold","0xb8e4033d68209fb03bbd877bb3f47e85777a6ce7b452813388ce928ad6651a35",250,NA,"0x8b47f00455c2e40a549535798796dea0ebb94158","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12731928","0x8b47f00455c2e40a549535798796dea0ebb94158","ens","1624920752","0x2a187453064356c898cae034eaed119e1663acb8","95000000000000000000","sold","0x8b87be9e37b766d97224f6a9ec2767ba203c0207c4d00267b71d9c6bab5d1256",95,NA,"0x8b47f00455c2e40a549535798796dea0ebb94158","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12725330",NA,"ens","1624920609","0x2a187453064356c898cae034eaed119e1663acb8","95000000000000000000","open","0xc44b20734979c12b742174c0c7e62191b566bcb21c6ac08e32ad91cf45d90162",95,NA,"0xf943f156fe138f71447e995bfbd10261ae70a9f6","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12725320",NA,"ens","1624920461","0x2a187453064356c898cae034eaed119e1663acb8","95000000000000000000","open","0x885af19bf9f0f193bca5485cb21d830fee4b322999ce956774f53650ce45cd84",95,NA,"0xf943f156fe138f71447e995bfbd10261ae70a9f6","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12725315",NA,"ens","1624920365","0x2a187453064356c898cae034eaed119e1663acb8","75000000000000000000","open","0x7028665263f12aef13da363471a557a91be55c3acc8b84809c089da43bc0d4b1",75,NA,"0xf943f156fe138f71447e995bfbd10261ae70a9f6","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12725310",NA,"ens","1624920291","0x2a187453064356c898cae034eaed119e1663acb8","95000000000000000000","open","0x63b37c7e5b4fd8e543e77b4563056c358a318e61e220db0974773b3a8563f479",95,NA,"0xf943f156fe138f71447e995bfbd10261ae70a9f6","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
"12725296",NA,"ens","1624920110","0x2a187453064356c898cae034eaed119e1663acb8","95000000000000000000","open","0xa1c419a8e6cc960d005e4c452ad950cd15f6073a121e85cd460a606efe56fe5f",95,NA,"0xf943f156fe138f71447e995bfbd10261ae70a9f6","0",NA,NA,NA,"2021-06-29 23:50:05",2021-06-29
