"date_utc","date_time_utc","stats_day_users","stats_day_txs","stats_day_volume","stats_week_users","stats_week_txs","stats_week_volume","stats_month_users","stats_month_txs","stats_month_volume","stats_all_users","stats_all_txs","stats_all_volume"
2021-07-28,"2021-07-28 00:35:24",623,1783,0,2534,13307,2,8598,148343,11951303639,23354,1559575,2317047269301
2021-07-28,"2021-07-28 01:36:16",633,1784,0,2536,13285,2,8591,148152,10724793149,23360,1559645,2317047269301
2021-07-28,"2021-07-28 02:35:03",630,1743,0,2543,13236,2,8580,147865,10303061149,23363,1559708,2317047269301
2021-07-28,"2021-07-28 03:35:18",633,1753,0,2545,13280,2,8575,147579,9818803049,23368,1559796,2317047269301
2021-07-28,"2021-07-28 04:34:11",637,1783,0,2546,13284,2,8573,147330,9524613359,23369,1559865,2317047269301
2021-07-28,"2021-07-28 05:36:26",640,1802,0,2549,13301,2,8565,147006,9143710359,23372,1559920,2317047269301
2021-07-28,"2021-07-28 06:35:27",643,1790,0,2550,13300,2,8562,146700,8868497859,23374,1559963,2317047269301
2021-07-28,"2021-07-28 07:37:25",644,1815,0,2544,13296,2,8544,146289,8537211859,23374,1560022,2317047269301
2021-07-28,"2021-07-28 08:35:50",642,1830,0,2541,13295,2,8525,145621,7924792609,23374,1560086,2317047269301
2021-07-28,"2021-07-28 09:30:59",647,1866,0,2540,13313,2,8493,144344,7646808390,23378,1560158,2317047269301
2021-07-28,"2021-07-28 10:30:44",645,1883,0,2537,13312,2,8459,142933,7305442390,23379,1560225,2317047269301
2021-07-28,"2021-07-28 12:30:47",643,1908,0,2533,13290,2,8357,136018,5770420490,23383,1560377,2317047269301
2021-07-28,"2021-07-28 13:30:51",642,1899,0,2526,13237,2,8288,132277,5403393590,23384,1560449,2317047269301
2021-07-28,"2021-07-28 14:30:45",635,1901,0,2528,13038,2,8218,128919,3433617001,23386,1560541,2317047269301
2021-07-28,"2021-07-28 16:30:46",649,1919,0,2529,12921,2,8114,123567,1445145001,23397,1560707,2317047269301
2021-07-28,"2021-07-28 17:30:44",655,1891,0,2519,12869,2,8065,121707,1013113102,23399,1560787,2317047269301
2021-07-28,"2021-07-28 18:30:44",664,1910,0,2531,12883,2,8019,120370,413716004,23406,1560864,2317047269301
