"date_utc","date_time_utc","stats_day_users","stats_day_txs","stats_week_users","stats_week_txs","stats_month_users","stats_month_txs","stats_all_users","stats_all_txs"
2021-07-12,"2021-07-12 00:30:24",1252,19910,4364,154531,6469,572185,10803,1772049
2021-07-12,"2021-07-12 01:30:24",1258,19639,4373,154804,6470,572076,10809,1772690
2021-07-12,"2021-07-12 02:30:25",1250,19228,4379,154969,6472,572026,10811,1773232
2021-07-12,"2021-07-12 03:30:24",1249,19032,4385,155155,6476,571941,10814,1773713
2021-07-12,"2021-07-12 04:30:26",1253,18918,4391,155323,6478,571885,10819,1774266
2021-07-12,"2021-07-12 05:30:24",1244,18811,4392,155688,6479,571967,10820,1774807
2021-07-12,"2021-07-12 06:30:26",1241,18806,4397,156057,6482,572154,10821,1775464
2021-07-12,"2021-07-12 07:30:24",1236,18520,4403,156254,6484,572155,10826,1775944
2021-07-12,"2021-07-12 08:30:24",1242,18494,4409,156629,6491,572364,10832,1776594
2021-07-12,"2021-07-12 09:30:27",1251,18712,4418,157127,6496,572781,10836,1777511
2021-07-12,"2021-07-12 10:30:33",1244,18910,4423,157596,6502,573218,10841,1778405
2021-07-12,"2021-07-12 11:30:26",1256,19145,4435,158124,6518,573616,10856,1779257
2021-07-12,"2021-07-12 12:30:35",1272,19281,4455,158639,6527,573967,10865,1780097
2021-07-12,"2021-07-12 13:30:26",1272,19369,4463,158937,6530,574083,10869,1780901
2021-07-12,"2021-07-12 14:30:26",1308,19724,4483,159560,6544,574517,10881,1782055
2021-07-12,"2021-07-12 15:30:25",1325,19945,4494,159940,6546,574640,10887,1783077
2021-07-12,"2021-07-12 16:30:26",1349,19952,4504,160581,6559,574870,10894,1784238
2021-07-12,"2021-07-12 17:30:29",1383,20258,4522,161645,6567,575273,10903,1785754
2021-07-12,"2021-07-12 18:30:26",1383,20369,4532,162355,6577,575512,10911,1786991
2021-07-12,"2021-07-12 19:30:25",1408,20809,4548,162971,6584,575935,10921,1788275
2021-07-12,"2021-07-12 20:30:24",1455,21439,4569,163603,6594,576434,10929,1789743
2021-07-12,"2021-07-12 21:30:25",1470,22204,4588,164847,6609,577455,10939,1791633
2021-07-12,"2021-07-12 22:30:26",1485,22551,4597,165647,6616,577959,10945,1792892
2021-07-12,"2021-07-12 23:30:29",1505,22884,4608,166273,6627,578370,10956,1794105
2021-07-13,"2021-07-13 00:30:26",1515,23222,4617,167115,6631,578888,10962,1795261
2021-07-13,"2021-07-13 01:30:38",1518,23556,4622,167804,6638,579360,10967,1796238
2021-07-13,"2021-07-13 02:30:24",1532,24240,4630,168783,6641,580098,10970,1797477
2021-07-13,"2021-07-13 03:30:28",1544,24682,4643,169531,6649,580489,10977,1798403
2021-07-13,"2021-07-13 04:30:25",1548,24834,4650,170122,6652,580664,10982,1799101
2021-07-13,"2021-07-13 05:30:27",1569,24889,4661,170439,6659,580652,10991,1799708
2021-07-13,"2021-07-13 06:30:32",1564,24729,4665,170594,6662,580722,10997,1800196
2021-07-13,"2021-07-13 07:30:30",1558,24829,4669,171000,6659,580926,10998,1800783
2021-07-13,"2021-07-13 08:30:35",1563,25018,4676,171456,6661,581304,11001,1801612
2021-07-13,"2021-07-13 09:30:47",1561,24842,4681,171892,6663,581632,11004,1802374
2021-07-13,"2021-07-13 10:30:40",1557,24665,4689,172259,6668,581911,11005,1803063
2021-07-13,"2021-07-13 11:30:28",1556,24529,4700,172681,6668,582176,11007,1803803
2021-07-13,"2021-07-13 12:30:29",1554,24675,4711,173305,6676,582597,11011,1804793
2021-07-13,"2021-07-13 13:30:38",1551,25120,4721,173952,6679,583332,11017,1806016
2021-07-13,"2021-07-13 14:31:33",1542,25131,4734,174651,6690,583813,11027,1807180
2021-07-13,"2021-07-13 15:30:27",1543,25538,4747,175482,6700,584428,11032,1808606
2021-07-13,"2021-07-13 16:31:04",1540,25915,4758,176331,6708,585058,11039,1810151
2021-07-13,"2021-07-13 17:30:27",1526,26080,4776,177525,6722,585842,11050,1811846
2021-07-13,"2021-07-13 18:30:22",1528,26377,4789,178409,6733,586519,11058,1813368
2021-07-13,"2021-07-13 19:30:25",1521,26470,4803,179269,6742,586847,11064,1814757
2021-07-13,"2021-07-13 20:30:24",1491,26340,4807,179984,6744,587025,11070,1816083
2021-07-13,"2021-07-13 21:30:23",1468,25808,4814,180863,6745,587291,11074,1817466
2021-07-13,"2021-07-13 22:30:24",1464,25574,4819,181400,6754,587401,11082,1818468
2021-07-13,"2021-07-13 23:30:24",1445,25290,4826,181863,6759,587435,11085,1819418
2021-07-14,"2021-07-14 00:30:50",1427,24792,4839,182100,6768,587587,11092,1820089
2021-07-14,"2021-07-14 01:30:32",1426,24379,4846,182445,6768,587765,11095,1820628
2021-07-14,"2021-07-14 02:30:51",1423,23675,4854,182753,6773,587916,11101,1821175
2021-07-14,"2021-07-14 03:30:37",1422,23377,4868,183153,6781,588162,11111,1821776
2021-07-14,"2021-07-14 04:30:42",1427,23196,4870,183471,6784,588381,11114,1822312
2021-07-14,"2021-07-14 05:30:28",1418,23178,4874,183744,6788,588729,11119,1822892
2021-07-14,"2021-07-14 06:30:40",1408,23154,4878,183759,6791,588944,11123,1823365
2021-07-14,"2021-07-14 07:30:46",1400,22894,4873,183123,6792,588838,11126,1823685
2021-07-14,"2021-07-14 08:31:10",1391,22517,4862,182120,6791,588719,11129,1824134
2021-07-14,"2021-07-14 09:30:33",1380,22215,4850,181014,6795,588687,11134,1824601
2021-07-14,"2021-07-14 10:30:29",1381,21975,4821,179835,6798,588575,11138,1825052
2021-07-14,"2021-07-14 11:30:24",1391,21847,4807,178695,6806,588613,11147,1825658
2021-07-14,"2021-07-14 12:30:36",1395,21629,4800,177735,6817,588724,11156,1826444
2021-07-14,"2021-07-14 13:30:56",1378,21160,4778,176694,6817,588719,11160,1827207
2021-07-14,"2021-07-14 14:30:38",1372,21141,4759,175570,6823,589069,11169,1828293
2021-07-14,"2021-07-14 15:31:11",1369,20928,4744,174734,6830,589414,11178,1829565
2021-07-14,"2021-07-14 16:30:56",1359,20642,4714,173636,6833,589515,11185,1830820
2021-07-14,"2021-07-14 17:30:45",1352,20416,4695,172711,6842,589736,11193,1832319
2021-07-14,"2021-07-14 18:30:59",1336,20114,4690,172113,6841,589770,11199,1833491
2021-07-14,"2021-07-14 19:31:28",1338,19902,4692,171074,6847,589835,11208,1834680
2021-07-14,"2021-07-14 20:31:05",1327,19712,4684,170536,6856,589824,11221,1835794
2021-07-14,"2021-07-14 21:30:52",1318,19294,4677,170086,6865,589571,11227,1836758
2021-07-14,"2021-07-14 22:30:46",1310,18806,4666,169152,6869,589140,11234,1837301
2021-07-14,"2021-07-14 23:31:08",1314,18574,4666,168558,6878,588943,11244,1838006
2021-07-15,"2021-07-15 00:32:03",1315,18643,4666,168250,6882,588711,11250,1838736
2021-07-15,"2021-07-15 01:31:24",1319,18649,4663,167689,6883,588311,11253,1839290
2021-07-15,"2021-07-15 02:32:45",1318,18674,4660,167160,6885,588162,11256,1839836
2021-07-15,"2021-07-15 03:32:04",1313,18676,4658,166726,6890,588090,11264,1840454
2021-07-15,"2021-07-15 04:31:18",1307,18673,4654,166441,6896,588006,11271,1840988
2021-07-15,"2021-07-15 05:30:55",1309,18544,4649,166015,6900,587936,11275,1841443
2021-07-15,"2021-07-15 06:32:27",1308,18553,4647,165692,6906,587899,11280,1841926
2021-07-15,"2021-07-15 07:31:21",1320,18777,4641,165112,6909,587976,11284,1842458
2021-07-15,"2021-07-15 08:30:36",1334,19101,4636,164986,6916,588301,11291,1843230
2021-07-15,"2021-07-15 09:31:54",1340,19331,4620,164626,6919,588591,11294,1843929
2021-07-15,"2021-07-15 10:31:54",1336,19353,4606,164050,6923,588650,11298,1844415
2021-07-15,"2021-07-15 11:32:14",1331,19600,4591,163622,6925,588984,11303,1845251
2021-07-15,"2021-07-15 12:32:01",1311,19581,4571,163083,6926,589183,11309,1846032
2021-07-15,"2021-07-15 13:31:59",1307,19576,4558,162559,6930,589156,11317,1846784
2021-07-15,"2021-07-15 14:32:15",1319,19691,4560,162743,6941,589591,11325,1848042
2021-07-15,"2021-07-15 15:32:07",1315,19584,4557,162639,6950,589698,11339,1849185
2021-07-15,"2021-07-15 16:31:22",1320,19484,4549,162458,6956,589709,11348,1850324
2021-07-15,"2021-07-15 17:31:22",1333,19197,4557,162316,6967,589786,11355,1851541
2021-07-15,"2021-07-15 18:31:13",1326,18880,4556,161883,6975,589643,11366,1852379
2021-07-15,"2021-07-15 19:31:24",1320,18539,4548,161588,6978,589471,11370,1853228
2021-07-15,"2021-07-15 20:31:46",1312,18053,4534,160566,6981,588952,11377,1853900
2021-07-15,"2021-07-15 21:31:14",1315,17879,4536,159400,6991,588668,11386,1854648
2021-07-15,"2021-07-15 22:31:56",1313,18291,4525,158593,6993,588614,11390,1855606
2021-07-15,"2021-07-15 23:32:16",1310,18465,4518,157916,7003,588631,11397,1856460
2021-07-16,"2021-07-16 00:32:17",1316,18517,4512,157386,7008,588663,11403,1857259
2021-07-16,"2021-07-16 01:31:50",1316,18710,4502,156765,7010,588594,11407,1857997
2021-07-16,"2021-07-16 02:32:02",1308,18683,4500,155874,7013,588381,11410,1858549
2021-07-16,"2021-07-16 03:32:06",1305,18664,4502,155141,7017,588266,11417,1859142
2021-07-16,"2021-07-16 04:32:13",1306,18796,4493,154702,7017,588302,11418,1859769
2021-07-16,"2021-07-16 05:32:57",1300,18908,4494,154425,7022,588356,11422,1860344
2021-07-16,"2021-07-16 06:32:45",1291,18867,4493,154052,7027,588321,11427,1860793
2021-07-16,"2021-07-16 07:32:05",1287,18994,4485,153968,7033,588630,11434,1861460
2021-07-16,"2021-07-16 08:32:45",1281,18749,4484,153711,7042,588786,11439,1862004
